place_id,display_name,category,stay_time,open_time,close_time
P0001,思群堂,Teaching,28,00:00,23:59
P0002,群贤堂,Teaching,28,00:00,23:59
P0003,图书馆逸夫楼,Library,5,00:00,23:59
P0004,地理馆,Library,18,00:00,23:59
P0005,物理楼,Teaching,5,00:00,23:59
P0006,化学实验楼,Teaching,32,00:00,23:59
P0007,生物实验楼,Teaching,46,00:00,23:59
P0008,行政楼,Teaching,11,00:00,23:59
P0009,教育学部楼,Teaching,26,00:00,23:59
P0010,信息楼,Teaching,13,00:00,23:59
P0011,计算机中心,Other,43,00:00,23:59
P0012,商学院楼,Teaching,25,00:00,23:59
P0013,心理与认知科学学院楼,Teaching,28,00:00,23:59
P0014,法学院楼,Teaching,40,00:00,23:59
P0015,音乐学院楼,Teaching,33,00:00,23:59
P0016,美术学院楼,Teaching,43,00:00,23:59
P0017,马克思主义学院楼,Teaching,22,00:00,23:59
P0018,河口海岸大楼,Sports,28,00:00,23:59
P0019,国际教育中心,Other,12,00:00,23:59
P0020,档案馆,Library,21,00:00,23:59
P0021,校史馆,Library,14,00:00,23:59
P0022,丽娃河,Sports,43,00:00,23:59
P0023,丽虹桥,Sports,30,00:00,23:59
P0024,共青场,Library,22,00:00,23:59
P0025,体育健康楼,Library,31,00:00,23:59
P0026,足球场,Library,19,00:00,23:59
P0027,篮球场,Library,38,00:00,23:59
P0028,排球场,Library,8,00:00,23:59
P0029,百花园餐厅,Other,11,00:00,23:59
P0030,银之春西餐厅,Other,16,00:00,23:59
P0031,申云轩餐厅,Other,39,00:00,23:59
P0032,河西食堂,Dining,50,00:00,23:59
P0033,河东食堂,Dining,33,00:00,23:59
P0034,丽娃食堂,Dining,30,00:00,23:59
P0035,华闵餐厅,Other,47,00:00,23:59
P0036,秋实阁,Other,49,00:00,23:59
P0037,秋林阁,Other,26,00:00,23:59
P0038,校医院,Other,13,00:00,23:59
P0039,学生活动中心,Other,43,00:00,23:59
P0040,学术交流中心,Other,41,00:00,23:59
P0041,第一教学楼,Teaching,32,00:00,23:59
P0042,第二教学楼,Teaching,15,00:00,23:59
P0043,第三教学楼,Teaching,39,00:00,23:59
P0044,第四教学楼,Teaching,30,00:00,23:59
P0045,实验A楼,Teaching,6,00:00,23:59
P0046,实验B楼,Teaching,36,00:00,23:59
P0047,实验教学中心,Other,42,00:00,23:59
P0048,物理信息楼,Teaching,7,00:00,23:59
P0049,法商楼,Teaching,35,00:00,23:59
P0050,闵行图书馆,Library,40,00:00,23:59
P0051,人文学院楼,Teaching,39,00:00,23:59
P0052,统计学院楼,Teaching,44,00:00,23:59
P0053,生命科学学院楼,Teaching,9,00:00,23:59
P0054,数统楼,Teaching,14,00:00,23:59
P0055,外语学院楼,Teaching,12,00:00,23:59
P0056,田径场,Library,24,00:00,23:59
P0057,游泳馆,Library,16,00:00,23:59
P0058,崇真书院,Other,24,00:00,23:59
P0059,桃李园广场,Sports,48,00:00,23:59
P0060,青年教师公寓,Dormitory,21,00:00,23:59
P0061,本科生公寓1号楼,Dormitory,29,00:00,23:59
P0062,本科生公寓2号楼,Dormitory,24,00:00,23:59
P0063,本科生公寓3号楼,Dormitory,9,00:00,23:59
P0064,本科生公寓4号楼,Dormitory,13,00:00,23:59
P0065,本科生公寓5号楼,Dormitory,40,00:00,23:59
P0066,本科生公寓6号楼,Dormitory,20,00:00,23:59
P0067,研究生公寓1号楼,Dormitory,13,00:00,23:59
P0068,研究生公寓2号楼,Dormitory,27,00:00,23:59
P0069,研究生公寓3号楼,Dormitory,35,00:00,23:59
P0070,研究生公寓4号楼,Dormitory,10,00:00,23:59
P0071,SPF实验动物中心,Other,46,00:00,23:59
P0072,信息化办公室,Other,36,00:00,23:59
P0073,后勤保障部,Other,32,00:00,23:59
P0074,基建处,Other,36,00:00,23:59
P0075,科技处,Other,45,00:00,23:59
P0076,审计处,Other,9,00:00,23:59
P0077,资产管理处,Other,5,00:00,23:59
P0078,人事处,Other,19,00:00,23:59
P0079,学校办公室,Other,10,00:00,23:59
P0080,团委,Other,34,00:00,23:59
P0081,学生资助管理中心,Other,42,00:00,23:59
P0082,心理健康教育与咨询中心,Other,49,00:00,23:59
P0083,校园警卫室,Other,12,00:00,23:59
P0084,莲花路警卫室,Other,19,00:00,23:59
P0085,虹梅路警卫室,Other,7,00:00,23:59
P0086,立体停车库,Other,28,00:00,23:59
P0087,闵行校区大门,Other,31,00:00,23:59
P0088,中北校区大门,Other,50,00:00,23:59
P0089,丽娃湖,Sports,24,00:00,23:59
P0090,柳长桥,Sports,47,00:00,23:59
P0091,梅陇井,Other,5,00:00,23:59
P0092,紫竹广场,Sports,8,00:00,23:59
P0093,心中书社,Other,35,00:00,23:59
P0094,翔华书店,Other,39,00:00,23:59
P0095,河西浴室,Sports,5,00:00,23:59
P0096,河东浴室,Sports,35,00:00,23:59
P0097,丽娃浴室,Other,7,00:00,23:59
P0098,西操场,Library,34,00:00,23:59
P0099,东操场,Library,10,00:00,23:59
P0100,综合体育馆,Library,41,00:00,23:59
