place_id,display_name,category,stay_time,open_time,close_time
P0001,Place_P0001,Sports,34,00:00,23:59
P0002,Place_P0002,Medical,40,00:00,23:59
P0003,Place_P0003,Dormitory,35,11:00,14:00
P0004,Place_P0004,Sports,7,00:00,23:59
P0005,Place_P0005,Dormitory,23,00:00,23:59
P0006,Place_P0006,Teaching,42,13:00,18:00
P0007,Place_P0007,Teaching,19,00:00,23:59
P0008,Place_P0008,Dormitory,31,06:00,12:00
P0009,Place_P0009,Dining,5,00:00,23:59
P0010,Place_P0010,Teaching,56,00:00,23:59
P0011,Place_P0011,Medical,57,00:00,23:59
P0012,Place_P0012,Dormitory,60,00:00,23:59
P0013,Place_P0013,Other,57,13:00,18:00
P0014,Place_P0014,Dormitory,50,00:00,23:59
P0015,Place_P0015,Other,19,18:00,23:00
P0016,Place_P0016,Dormitory,26,13:00,18:00
P0017,Place_P0017,Sports,28,00:00,23:59
P0018,Place_P0018,Dormitory,38,00:00,23:59
P0019,Place_P0019,Teaching,23,00:00,23:59
P0020,Place_P0020,Dormitory,35,00:00,23:59
P0021,Place_P0021,Medical,12,06:00,12:00
P0022,Place_P0022,Sports,34,00:00,23:59
P0023,Place_P0023,Other,40,00:00,23:59
P0024,Place_P0024,Teaching,33,13:00,18:00
P0025,Place_P0025,Teaching,2,00:00,23:59
P0026,Place_P0026,Sports,4,00:00,23:59
P0027,Place_P0027,Sports,30,00:00,23:59
P0028,Place_P0028,Dormitory,10,13:00,18:00
P0029,Place_P0029,Dormitory,41,00:00,23:59
P0030,Place_P0030,Sports,22,00:00,23:59
P0031,Place_P0031,Medical,2,00:00,23:59
P0032,Place_P0032,Medical,15,00:00,23:59
P0033,Place_P0033,Sports,22,00:00,23:59
P0034,Place_P0034,Medical,13,00:00,23:59
P0035,Place_P0035,Dining,43,00:00,23:59
P0036,Place_P0036,Medical,24,00:00,23:59
P0037,Place_P0037,Dormitory,42,00:00,23:59
P0038,Place_P0038,Medical,56,00:00,23:59
P0039,Place_P0039,Dormitory,7,00:00,23:59
P0040,Place_P0040,Dormitory,1,00:00,23:59
P0041,Place_P0041,Teaching,46,13:00,18:00
P0042,Place_P0042,Other,38,00:00,23:59
P0043,Place_P0043,Sports,24,00:00,23:59
P0044,Place_P0044,Dining,30,00:00,23:59
P0045,Place_P0045,Medical,55,00:00,23:59
P0046,Place_P0046,Other,28,06:00,12:00
P0047,Place_P0047,Other,49,00:00,23:59
P0048,Place_P0048,Dormitory,46,13:00,18:00
P0049,Place_P0049,Medical,11,00:00,23:59
P0050,Place_P0050,Medical,46,00:00,23:59
P0051,Place_P0051,Medical,49,13:00,18:00
P0052,Place_P0052,Other,5,00:00,23:59
P0053,Place_P0053,Teaching,2,00:00,23:59
P0054,Place_P0054,Dormitory,29,13:00,18:00
P0055,Place_P0055,Other,14,00:00,23:59
P0056,Place_P0056,Dormitory,29,00:00,23:59
P0057,Place_P0057,Medical,21,00:00,23:59
P0058,Place_P0058,Sports,26,00:00,23:59
P0059,Place_P0059,Dormitory,4,00:00,23:59
P0060,Place_P0060,Dining,24,00:00,23:59
P0061,Place_P0061,Dormitory,0,13:00,18:00
P0062,Place_P0062,Teaching,24,06:00,12:00
P0063,Place_P0063,Sports,2,00:00,23:59
P0064,Place_P0064,Other,30,13:00,18:00
P0065,Place_P0065,Other,42,00:00,23:59
P0066,Place_P0066,Other,32,00:00,23:59
P0067,Place_P0067,Dormitory,6,13:00,18:00
P0068,Place_P0068,Other,7,00:00,23:59
P0069,Place_P0069,Sports,4,00:00,23:59
P0070,Place_P0070,Dormitory,58,00:00,23:59
P0071,Place_P0071,Medical,59,00:00,23:59
P0072,Place_P0072,Dining,23,13:00,18:00
P0073,Place_P0073,Sports,32,00:00,23:59
P0074,Place_P0074,Sports,11,00:00,23:59
P0075,Place_P0075,Dormitory,29,00:00,23:59
P0076,Place_P0076,Other,20,13:00,18:00
P0077,Place_P0077,Teaching,26,11:00,14:00
P0078,Place_P0078,Other,25,00:00,23:59
P0079,Place_P0079,Other,49,13:00,18:00
P0080,Place_P0080,Teaching,45,00:00,23:59
P0081,Place_P0081,Dining,26,18:00,23:00
P0082,Place_P0082,Sports,25,00:00,23:59
P0083,Place_P0083,Medical,54,00:00,23:59
P0084,Place_P0084,Dining,1,00:00,23:59
P0085,Place_P0085,Medical,37,06:00,12:00
P0086,Place_P0086,Dormitory,49,00:00,23:59
P0087,Place_P0087,Sports,55,00:00,23:59
P0088,Place_P0088,Dining,43,00:00,23:59
P0089,Place_P0089,Teaching,19,06:00,12:00
P0090,Place_P0090,Sports,6,00:00,23:59
P0091,Place_P0091,Teaching,37,13:00,18:00
P0092,Place_P0092,Medical,38,00:00,23:59
P0093,Place_P0093,Teaching,0,00:00,23:59
P0094,Place_P0094,Dining,18,00:00,23:59
P0095,Place_P0095,Sports,15,00:00,23:59
P0096,Place_P0096,Sports,44,00:00,23:59
P0097,Place_P0097,Other,2,13:00,18:00
P0098,Place_P0098,Dining,45,00:00,23:59
P0099,Place_P0099,Teaching,27,00:00,23:59
P0100,Place_P0100,Medical,1,00:00,23:59
